searchedCategory,productTitle,productLink,productPrice,productRatings,insertDate
ar-condicionado,Ar condicionado Electrolux Inverter Techno  split  frio 9000 BTU  branco 220V QI/QE09F,https://www.mercadolivre.com.br/ar-condicionado-electrolux-inverter-techno-split-frio-9000-btu-branco-220v-qiqe09f/p/MLB9130226?pdp_filters=category:MLB1646#searchVariation=MLB9130226&position=1&search_layout=stack&type=product&tracking_id=00f3095e-fd35-40c2-8088-c927ab27d1a2,R$2.097,4.5,2023/11/15 10:40:38
ar-condicionado,Ar condicionado LG Dual Inverter Voice  split  frio 12000 BTU  branco 220V S4-Q12JA315 voltagem da unidade externa 220V,https://www.mercadolivre.com.br/ar-condicionado-lg-dual-inverter-voice-split-frio-12000-btu-branco-220v-s4-q12ja315-voltagem-da-unidade-externa-220v/p/MLB19888856?pdp_filters=category:MLB1646#searchVariation=MLB19888856&position=2&search_layout=stack&type=product&tracking_id=00f3095e-fd35-40c2-8088-c927ab27d1a2,R$2.699,4.9,2023/11/15 10:40:38
ar-condicionado,Ar condicionado Philco  split  frio 12000 BTU  branco 220V PAC12000TFM12,https://www.mercadolivre.com.br/ar-condicionado-philco-split-frio-12000-btu-branco-220v-pac12000tfm12/p/MLB19474976?pdp_filters=category:MLB1646#searchVariation=MLB19474976&position=3&search_layout=stack&type=product&tracking_id=00f3095e-fd35-40c2-8088-c927ab27d1a2,R$1.977,4.7,2023/11/15 10:40:38
ar-condicionado,Ar Condicionado Hi Wall LG Dual Inverter Voice 12.000 Btus Quente E Frio 220v R-32,https://www.mercadolivre.com.br/ar-condicionado-hi-wall-lg-dual-inverter-voice-12000-btus-quente-e-frio-220v-r-32/p/MLB27285620?pdp_filters=category:MLB1646#searchVariation=MLB27285620&position=4&search_layout=stack&type=product&tracking_id=00f3095e-fd35-40c2-8088-c927ab27d1a2,R$2.949,5.0,2023/11/15 10:40:38
ar-condicionado,Ar condicionado Philco Eco  split inverter  frio 18000 BTU  branco 220V PAC18000IFM9W,https://www.mercadolivre.com.br/ar-condicionado-philco-eco-split-inverter-frio-18000-btu-branco-220v-pac18000ifm9w/p/MLB16590996?pdp_filters=category:MLB1646#searchVariation=MLB16590996&position=5&search_layout=stack&type=product&tracking_id=00f3095e-fd35-40c2-8088-c927ab27d1a2,R$3.099,4.8,2023/11/15 10:40:38
ar-condicionado,Ar condicionado Philco Eco  split inverter  frio/quente 12000 BTU  branco 220V PAC12000ITQFM9W|096652814,https://www.mercadolivre.com.br/ar-condicionado-philco-eco-split-inverter-frioquente-12000-btu-branco-220v-pac12000itqfm9w096652814/p/MLB16368971?pdp_filters=category:MLB1646#searchVariation=MLB16368971&position=6&search_layout=stack&type=product&tracking_id=00f3095e-fd35-40c2-8088-c927ab27d1a2,R$2.499,4.7,2023/11/15 10:40:38
ar-condicionado,Ar condicionado LG Dual Inverter Voice  split  frio 9000 BTU  branco 220V S4-Q09AA31B,https://www.mercadolivre.com.br/ar-condicionado-lg-dual-inverter-voice-split-frio-9000-btu-branco-220v-s4-q09aa31b/p/MLB19934366?pdp_filters=category:MLB1646#searchVariation=MLB19934366&position=7&search_layout=stack&type=product&tracking_id=00f3095e-fd35-40c2-8088-c927ab27d1a2,R$2.499,4.8,2023/11/15 10:40:38
ar-condicionado,Ar-condicionado Hw LG Dual Inverter Voice 12000 Btu R32 Frio 220v,https://www.mercadolivre.com.br/ar-condicionado-hw-lg-dual-inverter-voice-12000-btu-r32-frio-220v/p/MLB27106544?pdp_filters=category:MLB1646#searchVariation=MLB27106544&position=8&search_layout=stack&type=product&tracking_id=00f3095e-fd35-40c2-8088-c927ab27d1a2,R$2.446,4.8,2023/11/15 10:40:38
ar-condicionado,Mini Ar Condicionado Climatizador Umidificador De Portátil,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=RG%2FaD7O%2FKlv1JjpwmPnu1eAey4ZzxelCtNp%2BptMC%2Bzj4Ed80sG6UbbU06wSERCCTl35wn0UPRDlUX7is2AlUPHl2PlHWRNc%2BLR6RczIGkxJ%2FbmCW5epuMLJF7yQS%2FX3m3NV8rpCvSvH2wZQJG6YG5ihNzx0NiGlyQJ3s7klUHyfW9pU9fr%2B9qoEDU44O6cyd4nFTKM88UzcI68KquBAv6t79YZJK1Ej4CumqoJf6%2BdMJkNWrLVqrUlCwAcQ7TSAXsHrYaXKOXMSuCeOVriKrgyFxqJa6jlU2eEoz6IvTJCUVbNYHziwWkDnHtOgPzxMFqpirKJxLx4Ttr17xgcrAHjzrwgh%2FM2W8KeG7ebaoezv3N7sMGV44hhRkgIytjoyVDEJ8yoOaPh79AbcG%2FzbDmvSosMnsp8CsN7yG8opoJaQSpNw2BoVmHYIpmenmHKiUBu3drZ59agleOR72E0bI9lkh0jz2bKRDuJuJV5z4QwbPs4DgaQ6BY42RWTWoQpRzYGF6x4w6270LnTwGgc0kRGPRlaPxERITNIDmj5H3Q7TK5XJDVijvuNJ9V0uBoR0%2B0dOf3TQltNMjt2ychPVlp965CMKnOKQHEXkV9na2klMwkE7zFD55O1DZq73Nyd1ISWYTNCvlDIhYT97BwZlj%2FbCwOJT42pIeuj4ezV6h01nYixs0b4YfsQsepXGk1tVKGHkxmrYxKAsgeQXETvVz6ICo0%2FoW&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fdifferential-cvr-factor%2B29495%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176&rb=x,"R$275,93",,2023/11/15 10:40:38
ar-condicionado,Ar Condicionado Climatizador Com Refreshing Arctic Air Ultra,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=Y6O5oohquI2fwGOFGKqurewOm5xuyokzKOyXk5w%2FIJyWl09AEYR9jMSqjSo2pbpREkkwb0u8kL4UiubAni8UkkLx8YJ1bbvZvyyZt4YLLQQR6ipYq%2B%2BiASwca1BDeF9JqD3fApEOSIEmKbVHTL1Gmpeec%2ByIG18vXW%2Bm80wTG8%2FIxluESuZrCPqRaVv33UYaTTKDekFqownWVKUzxJu4XrUdMOicubbU7ltWrkyKYo0ln%2BSIHshAP4epnjXKYP9tni5em2iF6tTP4jeqVKrGChYdCEDrB2fpCSiMp5T5ZnyaIm8R3zyXnJFwMhjF4SJ0XrCj8%2BaTvO%2ByVom%2BC5Pmd3cd831Gzxhv%2FgOJfUdRwDpW%2Fi4nLPydUwlLAsZcjWXTYLNHx6FzbVPdsYSTC9%2BcrpRTGu6OfCygmt3x%2F9WDTcKtEseVpNfC8B5gNMMcm5WmiAcN6%2FYAqraZiKj4LZh8JCfCNB3HB6mgVbjMW9riYeT99OI1QYix2XTEKsJT9qGTvdgzN1vFrCbNPXuscNepB6RgutMucLLXTWm4MwJwIWePlQNqMd0EmJZHljDsLeMaIkEaSjZMCW%2BsMGcvdhNBtEtVfqXV4SDDETlPzc25I4lqcAGHAMoFbDTIKQVWr%2FFdl1MLn5jA9%2FVOai4LO%2FudetFo844WqsAt83I%2FaWGV3eotwNLke9Rb%2BpnRav6ktD6rlxBzSx3hn01P2OwZoppN5wPu%2FY3JdOQrNw%3D%3D&e=mclics%2Fpseudo-search-pads-buybox%2B7708%2Cmclics%2Fbuybox-layout%2B25349%2Cmclics%2Fdifferential-cvr-factor%2B29495%2Cmclics%2Fsearch-list-ad-algorithm%2B16026%2Cmclics%2Fshow-pads-search-list%2B5146%2Cmclics%2Fshow-pads-global%2B5176&rb=x,"R$245,99",2.1,2023/11/15 10:40:38
