searchedCategory,productTitle,productLink,productPrice,productRatings,insertDate
ar-condicionado,Ar Condicionado Hi Wall LG Dual Inverter Voice 9.000 Btus Frio 220v R-32,https://www.mercadolivre.com.br/ar-condicionado-hi-wall-lg-dual-inverter-voice-9000-btus-frio-220v-r-32/p/MLB27145747?pdp_filters=category:MLB1646#searchVariation=MLB27145747&position=11&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.479,4.7,2023/11/16 10:29:36
ar-condicionado,Ar condicionado Springer Midea Xtreme Save Connect C  split inverter  frio 9000 BTU  branco 220V 42AGVCC09M5|38AGVCC09M5,https://www.mercadolivre.com.br/ar-condicionado-springer-midea-xtreme-save-connect-c-split-inverter-frio-9000-btu-branco-220v-42agvcc09m538agvcc09m5/p/MLB22529314?pdp_filters=category:MLB1646#searchVariation=MLB22529314&position=12&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.299,4.9,2023/11/16 10:29:36
ar-condicionado,Ar Janela Eletrônico Springer Midea 7500 Btus Frio 110v,https://www.mercadolivre.com.br/ar-janela-eletrnico-springer-midea-7500-btus-frio-110v/p/MLB20229317?pdp_filters=category:MLB1646#searchVariation=MLB20229317&position=13&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$1.899,4.9,2023/11/16 10:29:36
ar-condicionado,Ar Condicionado Hi Wall LG Dual Inverter Voice 12.000 Btus Frio 220v R-32,https://www.mercadolivre.com.br/ar-condicionado-hi-wall-lg-dual-inverter-voice-12000-btus-frio-220v-r-32/p/MLB27285619?pdp_filters=category:MLB1646#searchVariation=MLB27285619&position=14&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.789,4.8,2023/11/16 10:29:36
ar-condicionado,Ar Condicionado Janela 7500 Btu Mecânico Frio Midea Cor Branco 110V Voltagem da unidade externa 750,https://www.mercadolivre.com.br/ar-condicionado-janela-7500-btu-mecnico-frio-midea-cor-branco-110v-voltagem-da-unidade-externa-750/p/MLB24295327?pdp_filters=category:MLB1646#searchVariation=MLB24295327&position=15&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$1.689,4.6,2023/11/16 10:29:36
ar-condicionado,Ar-condicionado Split Inverter Samsung WindFree Connect Sem Vento 24.000 BTUs Frio AR24BVFAAWKNAZ 220V,https://www.mercadolivre.com.br/ar-condicionado-split-inverter-samsung-windfree-connect-sem-vento-24000-btus-frio-ar24bvfaawknaz-220v/p/MLB22491489?pdp_filters=category:MLB1646#searchVariation=MLB22491489&position=16&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$5.099,4.7,2023/11/16 10:29:36
ar-condicionado,Ar-condicionado Split Hw Philco 9.000 Btus Só Frio 220v,https://www.mercadolivre.com.br/ar-condicionado-split-hw-philco-9000-btus-so-frio-220v/p/MLB22970136?pdp_filters=category:MLB1646#searchVariation=MLB22970136&position=17&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$1.948,4.7,2023/11/16 10:29:36
ar-condicionado,Ar-condicionado Hw Inverter Agratto 9.000 Btus Q/f 220v,https://www.mercadolivre.com.br/ar-condicionado-hw-inverter-agratto-9000-btus-qf-220v/p/MLB22827652?pdp_filters=category:MLB1646#searchVariation=MLB22827652&position=18&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$1.979,4.4,2023/11/16 10:29:36
ar-condicionado,Ar condicionado Philco  split  frio 9000 BTU  branco 127V PAC9000IFM14,https://www.mercadolivre.com.br/ar-condicionado-philco-split-frio-9000-btu-branco-127v-pac9000ifm14/p/MLB27821350?pdp_filters=category:MLB1646#searchVariation=MLB27821350&position=19&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.399,,2023/11/16 10:29:36
ar-condicionado,Ar Condicionado Inverter LG Dual Voice 18000 Btus Frio 220v,https://www.mercadolivre.com.br/ar-condicionado-inverter-lg-dual-voice-18000-btus-frio-220v/p/MLB21013976?pdp_filters=category:MLB1646#searchVariation=MLB21013976&position=20&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$4.399,4.8,2023/11/16 10:29:36
ar-condicionado,Ar-condicionado Split Samsung Digital Inverter Ultra 24.000 BTUs Frio AR24BVHZCWKNAZ Branco 220V,https://www.mercadolivre.com.br/ar-condicionado-split-samsung-digital-inverter-ultra-24000-btus-frio-ar24bvhzcwknaz-branco-220v/p/MLB22869704?pdp_filters=category:MLB1646#searchVariation=MLB22869704&position=21&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$4.999,,2023/11/16 10:29:36
ar-condicionado,Ar Condicionado Split Hi Wall Fontaine 9000 Btu/h Frio Fcst9,https://produto.mercadolivre.com.br/MLB-3462331405-ar-condicionado-split-hi-wall-fontaine-9000-btuh-frio-fcst9-_JM#position=49&search_layout=stack&type=item&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.028,5.0,2023/11/16 10:29:36
ar-condicionado,Ar Condicionado Split Hi Wall On/off Agratto One Top 12000 Btus Quente/frio 220v Monofásico Acst12qfi R402,https://www.mercadolivre.com.br/ar-condicionado-split-hi-wall-onoff-agratto-one-top-12000-btus-quentefrio-220v-monofasico-acst12qfi-r402/p/MLB25045748?pdp_filters=category:MLB1646#searchVariation=MLB25045748&position=22&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.041,4.7,2023/11/16 10:29:36
ar-condicionado,Ar-condicionado Hw Philco Pac9000tqfm 9.000 Btus Qf 220v,https://www.mercadolivre.com.br/ar-condicionado-hw-philco-pac9000tqfm-9000-btus-qf-220v/p/MLB22841991?pdp_filters=category:MLB1646#searchVariation=MLB22841991&position=23&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$1.839,,2023/11/16 10:29:36
ar-condicionado,Ar condicionado LG  split  frio 9000 BTU  branco 220V S3NQ09AA31A.EB2GAMZ,https://www.mercadolivre.com.br/ar-condicionado-lg-split-frio-9000-btu-branco-220v-s3nq09aa31aeb2gamz/p/MLB27292681?pdp_filters=category:MLB1646#searchVariation=MLB27292681&position=24&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.179,,2023/11/16 10:29:36
ar-condicionado,Ar Condicionado LG Dual Inverter Voice 18000 Btus Frio 220v,https://produto.mercadolivre.com.br/MLB-3498884835-ar-condicionado-lg-dual-inverter-voice-18000-btus-frio-220v-_JM#position=50&search_layout=stack&type=item&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$3.799,,2023/11/16 10:29:36
ar-condicionado,Ar Cond Hw Inverter Midea Airvolution Conect 9k F 220v R32,https://www.mercadolivre.com.br/ar-cond-hw-inverter-midea-airvolution-conect-9k-f-220v-r32/p/MLB27798894?pdp_filters=category:MLB1646#searchVariation=MLB27798894&position=25&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$2.089,,2023/11/16 10:29:36
ar-condicionado,Ar condicionado LG Dual Inverter Voice  split  frio 15000 BTU  branco 220V S4-Q15JL31A,https://www.mercadolivre.com.br/ar-condicionado-lg-dual-inverter-voice-split-frio-15000-btu-branco-220v-s4-q15jl31a/p/MLB19604512?pdp_filters=category:MLB1646#searchVariation=MLB19604512&position=26&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$3.799,4.8,2023/11/16 10:29:36
ar-condicionado,Ar Condicionado Samsung Wfree  12.000btu Quente/frio 220v Cor Preto,https://www.mercadolivre.com.br/ar-condicionado-samsung-wfree-12000btu-quentefrio-220v-cor-preto/p/MLB26109033?pdp_filters=category:MLB1646#searchVariation=MLB26109033&position=27&search_layout=stack&type=product&tracking_id=ce074d2b-5f5e-4dd4-aee1-7b5f5034963f,R$3.699,4.7,2023/11/16 10:29:36
